J / kg	WC
0.00098	0.5154
0.00098	0.515
0.00098	0.5145
0.00098	0.5097
0.036578515	0.5089
0.095109977	0.5106
0.108199705	0.5138
0.137159558	0.5079
0.162639517	0.513
0.217884369	0.5123
0.222446755	0.5069
0.22867889	0.5114
0.308479335	0.5059
0.390145027	0.5049
0.46905749	0.5038
0.556193713	0.5026
0.644504681	0.5014
0.731519783	0.5001
0.828373268	0.4988
0.929450094	0.4975
1.02855158	0.4962
1.130384193	0.4948
1.233746904	0.4934
1.331147178	0.4919
1.377926574	0.4764
1.413273044	0.4905
1.446192403	0.4747
1.48670936	0.4781
1.507391547	0.489
1.514349351	0.4797
1.538955548	0.4656
1.582071386	0.473
1.585718437	0.4875
1.593037781	0.4675
1.626395169	0.486
1.633902268	0.4712
1.687431203	0.4813
1.706970736	0.4637
1.714849755	0.4844
1.722765142	0.4694
1.812283247	0.4615
1.820648366	0.4829
1.880295366	0.459
1.977999036	0.456
2.1097261	0.4509
2.329303481	0.4435
2.501647277	0.4381
2.613521491	0.4346
2.755662814	0.4307
2.905534762	0.4268
3.06355778	0.4229
3.156647415	0.4199
3.200560755	0.4178
3.29781338	0.4157
3.398021134	0.4135
3.501273814	0.4112
3.632671073	0.4089
3.760331006	0.4065
3.892477185	0.4041
4.029267267	0.4017
4.180479284	0.3992
4.337366049	0.3967
4.510514421	0.3941
4.690574905	0.3915
4.934305966	0.3886
5.323853249	0.3844
5.837489007	0.3791
6.385958262	0.3735
6.985959695	0.3679
7.677610499	0.3621
8.496226382	0.3563
9.145892148	0.3513
9.621129842	0.3478
10.14439323	0.345
10.72077239	0.3421
11.35601809	0.3391
12.02890447	0.3362
12.74166186	0.3333
13.52776579	0.3303
14.36236884	0.3274
15.24846319	0.3243
16.26395169	0.3212
18.16460991	0.3163
20.75993913	0.3099
23.56275544	0.3036
26.74398227	0.2974
30.42468396	0.2913
32.9781338	0.2868
34.85186922	0.2839
37.60331006	0.281
40.57196813	0.2781
43.57386421	0.2751
46.69023671	0.2721
49.91442536	0.269
52.99392365	0.2658
56.13401104	0.2626
59.73461593	0.2576
64.15434506	0.2508
957.6924765	0.1589	0.2
2193.946716	0.1378	0.2
19108.47708	0.0863	0.2
